League Number,League,Team Name,% Distance Covered,Category,Week,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Voyagers,142,One,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Lease we can do,134,Two,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Yorkshire Puddings,116,Three,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Connells S&V East London and Essex ,97.38,Four,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",RICS Matrics Cornwall Committee,91.57,One,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Leaping Lions,89.59,Two,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Innes England,89.39,Three,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Built to Hop,76.14,Four,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Connells East Anglia,75.12,One,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",RICS Matrics Surrey ,74.51,Two,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Specials ,63.73,Three,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Management Mileage Monsters,63.46,Four,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Holdens Team,61.49,One,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Connells Striding Surveyors,58.35,Two,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Dreigiau Cymru (Connells S&V),56.39,Three,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Non-Traditionals,55.46,Four,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Seaden Strollers,50,One,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",RICS Matrics UK Board ,47.6,Two,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Watsons Wanderers,37.7,Three,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",London South,29.51,Four,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Quants Queens,28.68,One,2,,
2,Running/Racing Wheelchair League - Target: 379 miles,Quantem Tenners + 1,77.89,Two,2,,
2,Running/Racing Wheelchair League - Target: 379 miles,"The Rapid, Resolute (and Relucant) Running Club ",65,Three,2,,
2,Running/Racing Wheelchair League - Target: 379 miles,Quantem London,33.04,Four,2,,
3,Cycling League - Target: 782 miles,Esurv,65.11,One,2,,
3,Cycling League - Target: 782 miles,SDL Surveying,64.53,Two,2,,
3,Cycling League - Target: 782 miles,Shepherd Chartered Surveyors,0,Three,2,,
4,Walking/Wheelchair - Target: 509 miles,Quantem Birmingham,132,Four,2,,
4,Walking/Wheelchair - Target: 509 miles,RICS Matrics London Committee,131,Two,2,,
4,Walking/Wheelchair - Target: 509 miles,VOA Cardiff,110,One,2,,
4,Walking/Wheelchair - Target: 509 miles,Connells Pacemakers,77.58,Three,2,,
4,Walking/Wheelchair - Target: 509 miles,The Pramblers,45.54,Four,2,,
4,Walking/Wheelchair - Target: 509 miles,The Survey Stumblers,33.1,One,2,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Lease we can do,53.7,One,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Yorkshire Puddings,48.7,Two,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Dreigiau Cymru (Connells S&V),46.6,Three,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",RICS Matrics Cornwall Committee,46.3,Four,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Innes England,45.4,One,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",RICS Matrics Surrey ,42.1,Two,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Non-Traditionals,40.1,Three,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Specials ,32.9,Four,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Connells S&V East London and Essex ,30.5,One,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Management Mileage Monsters,30.1,Two,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",London South,27.9,Three,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Built to Hop,27.4,Four,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Connells Striding Surveyors,22.7,One,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Watsons Wanderers,18.3,Two,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",RICS Matrics UK Board ,14.2,Three,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Quants Queens,8.1,Four,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Holdens Team,0,One,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Connells East Anglia,0,Two,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Seaden Strollers,0,Three,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",The Leaping Lions,0,Four,1,,
1,"Mixed League - Walking, Running, Cycling and Wheelchair - Target: 281 miles",Voyagers,0,One,1,,
2,Running/Racing Wheelchair League - Target: 379 miles,Quantem Tenners + 1,38.2,Two,1,,
2,Running/Racing Wheelchair League - Target: 379 miles,Quantem London,30,Three,1,,
2,Running/Racing Wheelchair League - Target: 379 miles,"The Rapid, Resolute (and Relucant) Running Club ",26.7,Four,1,,
3,Cycling League - Target: 782 miles,Easy Riders,29.4,One,1,,
3,Cycling League - Target: 782 miles,Fit4it,0,Two,1,,
3,Cycling League - Target: 782 miles,Shepherd Cyclists,0,Three,1,,
4,Walking/Wheelchair - Target: 509 miles,Quantem Birmingham,57.1,Four,1,,
4,Walking/Wheelchair - Target: 509 miles,RICS Matrics London Committee,48.9,One,1,,
4,Walking/Wheelchair - Target: 509 miles,Connells Pacemakers,27,Two,1,,
4,Walking/Wheelchair - Target: 509 miles,The Survey Stumblers ,0,Three,1,,
4,Walking/Wheelchair - Target: 509 miles,VOA Cardiff,0,Four,1,,
